,Sigla,Início Vigência,Fim Vigência,Subgrupo,Modalidade,Posto,Unidade,TUSD,TE
217989,EFLJC,2023-08-29,2024-08-28,A4,Verde,Fora ponta,R$/MWh,68.52,284.75
217993,EFLJC,2023-08-29,2024-08-28,A4,Verde APE,Não se aplica,R$/kW,17.28,0.0
217995,EFLJC,2023-08-29,2024-08-28,A4,Verde,Não se aplica,R$/kW,17.28,0.0
217997,EFLJC,2023-08-29,2024-08-28,A4,Verde APE,Ponta,R$/MWh,1145.1,0.0
217999,EFLJC,2023-08-29,2024-08-28,A4,Verde,Ponta,R$/MWh,1210.61,481.63
218123,EFLJC,2024-08-29,2025-08-28,A4,Azul APE,Fora ponta,R$/kW,17.71,0.0
218126,EFLJC,2024-08-29,2025-08-28,A4,Azul APE,Fora ponta,R$/MWh,23.39,0.0
218127,EFLJC,2024-08-29,2025-08-28,A4,Azul,Fora ponta,R$/kW,17.71,0.0
218129,EFLJC,2024-08-29,2025-08-28,A4,Azul,Fora ponta,R$/MWh,106.86,286.47
218133,EFLJC,2024-08-29,2025-08-28,A4,Azul APE,Ponta,R$/kW,36.65,0.0
218136,EFLJC,2024-08-29,2025-08-28,A4,Azul APE,Ponta,R$/MWh,23.39,0.0
218137,EFLJC,2024-08-29,2025-08-28,A4,Azul,Ponta,R$/kW,36.65,0.0
218139,EFLJC,2024-08-29,2025-08-28,A4,Azul,Ponta,R$/MWh,106.86,456.91
218148,EFLJC,2024-08-29,2025-08-28,A4,Verde APE,Fora ponta,R$/MWh,23.39,0.0
218149,EFLJC,2024-08-29,2025-08-28,A4,Verde,Fora ponta,R$/MWh,106.86,286.47
218153,EFLJC,2024-08-29,2025-08-28,A4,Verde APE,Não se aplica,R$/kW,17.71,0.0
218155,EFLJC,2024-08-29,2025-08-28,A4,Verde,Não se aplica,R$/kW,17.71,0.0
218157,EFLJC,2024-08-29,2025-08-28,A4,Verde APE,Ponta,R$/MWh,914.53,0.0
218159,EFLJC,2024-08-29,2025-08-28,A4,Verde,Ponta,R$/MWh,998.0,456.91
218283,Eflul,2021-08-29,2022-01-05,A3,Azul APE,Fora ponta,R$/kW,13.87,0.0
218285,Eflul,2021-08-29,2022-01-05,A3,Azul APE,Fora ponta,R$/MWh,6.64,0.0
218287,Eflul,2021-08-29,2022-01-05,A3,Azul,Fora ponta,R$/kW,13.87,0.0
218289,Eflul,2021-08-29,2022-01-05,A3,Azul,Fora ponta,R$/MWh,57.86,286.76
218291,Eflul,2021-08-29,2022-01-05,A3,Azul APE,Ponta,R$/kW,22.04,0.0
218293,Eflul,2021-08-29,2022-01-05,A3,Azul APE,Ponta,R$/MWh,6.64,0.0
218295,Eflul,2021-08-29,2022-01-05,A3,Azul,Ponta,R$/kW,22.04,0.0
218297,Eflul,2021-08-29,2022-01-05,A3,Azul,Ponta,R$/MWh,57.86,488.15
218299,Eflul,2021-08-29,2022-01-05,A4,Azul APE,Fora ponta,R$/kW,18.49,0.0
218301,Eflul,2021-08-29,2022-01-05,A4,Azul APE,Fora ponta,R$/MWh,9.53,0.0
218303,Eflul,2021-08-29,2022-01-05,A4,Azul,Fora ponta,R$/kW,18.49,0.0
218305,Eflul,2021-08-29,2022-01-05,A4,Azul,Fora ponta,R$/MWh,73.28,286.76
218307,Eflul,2021-08-29,2022-01-05,A4,Azul APE,Ponta,R$/kW,29.39,0.0
218309,Eflul,2021-08-29,2022-01-05,A4,Azul APE,Ponta,R$/MWh,9.53,0.0
218311,Eflul,2021-08-29,2022-01-05,A4,Azul,Ponta,R$/kW,29.39,0.0
218313,Eflul,2021-08-29,2022-01-05,A4,Azul,Ponta,R$/MWh,73.28,488.15
218321,Eflul,2021-08-29,2022-01-05,A4,Verde APE,Fora ponta,R$/MWh,9.53,0.0
218323,Eflul,2021-08-29,2022-01-05,A4,Verde,Fora ponta,R$/MWh,73.28,286.76
218325,Eflul,2021-08-29,2022-01-05,A4,Verde APE,Não se aplica,R$/kW,18.49,0.0
218327,Eflul,2021-08-29,2022-01-05,A4,Verde,Não se aplica,R$/kW,18.49,0.0
218329,Eflul,2021-08-29,2022-01-05,A4,Verde APE,Ponta,R$/MWh,725.88,0.0
218331,Eflul,2021-08-29,2022-01-05,A4,Verde,Ponta,R$/MWh,789.62,488.15
218391,Eflul,2022-01-06,2022-08-28,A3,Azul APE,Fora ponta,R$/kW,13.87,0.0
218393,Eflul,2022-01-06,2022-08-28,A3,Azul APE,Fora ponta,R$/MWh,6.64,0.0
218395,Eflul,2022-01-06,2022-08-28,A3,Azul,Fora ponta,R$/kW,13.87,0.0
218397,Eflul,2022-01-06,2022-08-28,A3,Azul,Fora ponta,R$/MWh,57.86,286.76
218399,Eflul,2022-01-06,2022-08-28,A3,Azul APE,Ponta,R$/kW,22.04,0.0
218401,Eflul,2022-01-06,2022-08-28,A3,Azul APE,Ponta,R$/MWh,6.64,0.0
218403,Eflul,2022-01-06,2022-08-28,A3,Azul,Ponta,R$/kW,22.04,0.0
218405,Eflul,2022-01-06,2022-08-28,A3,Azul,Ponta,R$/MWh,57.86,488.15
218407,Eflul,2022-01-06,2022-08-28,A4,Azul APE,Fora ponta,R$/kW,18.49,0.0
218409,Eflul,2022-01-06,2022-08-28,A4,Azul APE,Fora ponta,R$/MWh,9.53,0.0
218411,Eflul,2022-01-06,2022-08-28,A4,Azul,Fora ponta,R$/kW,18.49,0.0
218413,Eflul,2022-01-06,2022-08-28,A4,Azul,Fora ponta,R$/MWh,73.28,286.76
218415,Eflul,2022-01-06,2022-08-28,A4,Azul APE,Ponta,R$/kW,29.39,0.0
218417,Eflul,2022-01-06,2022-08-28,A4,Azul APE,Ponta,R$/MWh,9.53,0.0
218419,Eflul,2022-01-06,2022-08-28,A4,Azul,Ponta,R$/kW,29.39,0.0
218421,Eflul,2022-01-06,2022-08-28,A4,Azul,Ponta,R$/MWh,73.28,488.15
218429,Eflul,2022-01-06,2022-08-28,A4,Verde APE,Fora ponta,R$/MWh,9.53,0.0
218431,Eflul,2022-01-06,2022-08-28,A4,Verde,Fora ponta,R$/MWh,73.28,286.76
218433,Eflul,2022-01-06,2022-08-28,A4,Verde APE,Não se aplica,R$/kW,18.49,0.0
218435,Eflul,2022-01-06,2022-08-28,A4,Verde,Não se aplica,R$/kW,18.49,0.0
218437,Eflul,2022-01-06,2022-08-28,A4,Verde APE,Ponta,R$/MWh,725.88,0.0
218439,Eflul,2022-01-06,2022-08-28,A4,Verde,Ponta,R$/MWh,789.62,488.15
218499,Eflul,2022-08-29,2023-08-28,A3,Azul APE,Fora ponta,R$/kW,12.29,0.0
218502,Eflul,2022-08-29,2023-08-28,A3,Azul APE,Fora ponta,R$/MWh,11.68,0.0
218503,Eflul,2022-08-29,2023-08-28,A3,Azul,Fora ponta,R$/kW,12.29,0.0
218505,Eflul,2022-08-29,2023-08-28,A3,Azul,Fora ponta,R$/MWh,94.14,250.04
218509,Eflul,2022-08-29,2023-08-28,A3,Azul APE,Ponta,R$/kW,22.32,0.0
218512,Eflul,2022-08-29,2023-08-28,A3,Azul APE,Ponta,R$/MWh,11.68,0.0
218513,Eflul,2022-08-29,2023-08-28,A3,Azul,Ponta,R$/kW,22.32,0.0
218515,Eflul,2022-08-29,2023-08-28,A3,Azul,Ponta,R$/MWh,94.14,399.84
218519,Eflul,2022-08-29,2023-08-28,A4,Azul APE,Fora ponta,R$/kW,15.64,0.0
218522,Eflul,2022-08-29,2023-08-28,A4,Azul APE,Fora ponta,R$/MWh,20.49,0.0
218523,Eflul,2022-08-29,2023-08-28,A4,Azul,Fora ponta,R$/kW,15.64,0.0
218525,Eflul,2022-08-29,2023-08-28,A4,Azul,Fora ponta,R$/MWh,126.25,250.04
218529,Eflul,2022-08-29,2023-08-28,A4,Azul APE,Ponta,R$/kW,32.35,0.0
218532,Eflul,2022-08-29,2023-08-28,A4,Azul APE,Ponta,R$/MWh,20.49,0.0
218533,Eflul,2022-08-29,2023-08-28,A4,Azul,Ponta,R$/kW,32.35,0.0
218535,Eflul,2022-08-29,2023-08-28,A4,Azul,Ponta,R$/MWh,126.25,399.84
218542,Eflul,2022-08-29,2023-08-28,A4,Verde APE,Fora ponta,R$/MWh,20.49,0.0
218543,Eflul,2022-08-29,2023-08-28,A4,Verde,Fora ponta,R$/MWh,126.25,250.04
218547,Eflul,2022-08-29,2023-08-28,A4,Verde APE,Não se aplica,R$/kW,15.64,0.0
218549,Eflul,2022-08-29,2023-08-28,A4,Verde,Não se aplica,R$/kW,15.64,0.0
218551,Eflul,2022-08-29,2023-08-28,A4,Verde APE,Ponta,R$/MWh,806.08,0.0
218553,Eflul,2022-08-29,2023-08-28,A4,Verde,Ponta,R$/MWh,911.84,399.84
218677,Eflul,2023-08-29,2024-08-28,A3,Azul APE,Fora ponta,R$/kW,14.94,0.0
218680,Eflul,2023-08-29,2024-08-28,A3,Azul APE,Fora ponta,R$/MWh,11.84,0.0
218681,Eflul,2023-08-29,2024-08-28,A3,Azul,Fora ponta,R$/kW,14.94,0.0
218684,Eflul,2023-08-29,2024-08-28,A3,Azul,Fora ponta,R$/MWh,69.64,532.9
218687,Eflul,2023-08-29,2024-08-28,A3,Azul APE,Ponta,R$/kW,25.52,0.0
218690,Eflul,2023-08-29,2024-08-28,A3,Azul APE,Ponta,R$/MWh,11.84,0.0
218691,Eflul,2023-08-29,2024-08-28,A3,Azul,Ponta,R$/kW,25.52,0.0
218694,Eflul,2023-08-29,2024-08-28,A3,Azul,Ponta,R$/MWh,69.64,328.59
218697,Eflul,2023-08-29,2024-08-28,A4,Azul APE,Fora ponta,R$/kW,18.56,0.0
218700,Eflul,2023-08-29,2024-08-28,A4,Azul APE,Fora ponta,R$/MWh,21.46,0.0
218701,Eflul,2023-08-29,2024-08-28,A4,Azul,Fora ponta,R$/kW,18.56,0.0
218703,Eflul,2023-08-29,2024-08-28,A4,Azul,Fora ponta,R$/MWh,100.39,277.93
218707,Eflul,2023-08-29,2024-08-28,A4,Azul APE,Ponta,R$/kW,36.16,0.0
218710,Eflul,2023-08-29,2024-08-28,A4,Azul APE,Ponta,R$/MWh,21.46,0.0
218711,Eflul,2023-08-29,2024-08-28,A4,Azul,Ponta,R$/kW,36.16,0.0
218713,Eflul,2023-08-29,2024-08-28,A4,Azul,Ponta,R$/MWh,100.39,440.48
218720,Eflul,2023-08-29,2024-08-28,A4,Verde APE,Fora ponta,R$/MWh,21.46,0.0
218721,Eflul,2023-08-29,2024-08-28,A4,Verde,Fora ponta,R$/MWh,100.39,277.93
218725,Eflul,2023-08-29,2024-08-28,A4,Verde APE,Não se aplica,R$/kW,18.56,0.0
218727,Eflul,2023-08-29,2024-08-28,A4,Verde,Não se aplica,R$/kW,18.56,0.0
218729,Eflul,2023-08-29,2024-08-28,A4,Verde APE,Ponta,R$/MWh,899.03,0.0
218731,Eflul,2023-08-29,2024-08-28,A4,Verde,Ponta,R$/MWh,977.96,440.48
218855,Eflul,2024-08-29,2025-08-28,A3,Azul APE,Fora ponta,R$/kW,16.66,0.0
218857,Eflul,2024-08-29,2025-08-28,A3,Azul APE,Fora ponta,R$/MWh,3.07,0.0
218859,Eflul,2024-08-29,2025-08-28,A3,Azul,Fora ponta,R$/kW,16.66,0.0
218861,Eflul,2024-08-29,2025-08-28,A3,Azul,Fora ponta,R$/MWh,52.31,145.28
218865,Eflul,2024-08-29,2025-08-28,A3,Azul APE,Ponta,R$/kW,26.15,0.0
218867,Eflul,2024-08-29,2025-08-28,A3,Azul APE,Ponta,R$/MWh,3.07,0.0
218869,Eflul,2024-08-29,2025-08-28,A3,Azul,Ponta,R$/kW,26.15,0.0
218871,Eflul,2024-08-29,2025-08-28,A3,Azul,Ponta,R$/MWh,52.31,223.84
218875,Eflul,2024-08-29,2025-08-28,A4,Azul APE,Fora ponta,R$/kW,22.21,0.0
218877,Eflul,2024-08-29,2025-08-28,A4,Azul APE,Fora ponta,R$/MWh,4.14,0.0
218879,Eflul,2024-08-29,2025-08-28,A4,Azul,Fora ponta,R$/kW,22.21,0.0
218881,Eflul,2024-08-29,2025-08-28,A4,Azul,Fora ponta,R$/MWh,74.28,147.08
218885,Eflul,2024-08-29,2025-08-28,A4,Azul APE,Ponta,R$/kW,34.86,0.0
218887,Eflul,2024-08-29,2025-08-28,A4,Azul APE,Ponta,R$/MWh,4.14,0.0
218889,Eflul,2024-08-29,2025-08-28,A4,Azul,Ponta,R$/kW,34.86,0.0
218891,Eflul,2024-08-29,2025-08-28,A4,Azul,Ponta,R$/MWh,74.28,225.64
218899,Eflul,2024-08-29,2025-08-28,A4,Verde APE,Fora ponta,R$/MWh,4.14,0.0
218901,Eflul,2024-08-29,2025-08-28,A4,Verde,Fora ponta,R$/MWh,74.28,147.08
218905,Eflul,2024-08-29,2025-08-28,A4,Verde APE,Não se aplica,R$/kW,22.21,0.0
218907,Eflul,2024-08-29,2025-08-28,A4,Verde,Não se aplica,R$/kW,22.21,0.0
218909,Eflul,2024-08-29,2025-08-28,A4,Verde APE,Ponta,R$/MWh,852.46,0.0
218911,Eflul,2024-08-29,2025-08-28,A4,Verde,Ponta,R$/MWh,922.6,225.64
219037,Eletrocar,2021-07-22,2022-07-21,A4,Azul APE,Fora ponta,R$/kW,19.24,0.0
219040,Eletrocar,2021-07-22,2022-07-21,A4,Azul APE,Fora ponta,R$/MWh,11.73,0.0
219041,Eletrocar,2021-07-22,2022-07-21,A4,Azul,Fora ponta,R$/kW,19.24,0.0
219044,Eletrocar,2021-07-22,2022-07-21,A4,Azul,Fora ponta,R$/MWh,78.68,246.3
219045,Eletrocar,2021-07-22,2022-07-21,A4,Azul APE,Ponta,R$/kW,51.41,0.0
219048,Eletrocar,2021-07-22,2022-07-21,A4,Azul APE,Ponta,R$/MWh,11.73,0.0
219049,Eletrocar,2021-07-22,2022-07-21,A4,Azul,Ponta,R$/kW,51.41,0.0
219052,Eletrocar,2021-07-22,2022-07-21,A4,Azul,Ponta,R$/MWh,78.68,389.21
219056,Eletrocar,2021-07-22,2022-07-21,A4,Verde APE,Fora ponta,R$/MWh,11.73,0.0
219058,Eletrocar,2021-07-22,2022-07-21,A4,Verde,Fora ponta,R$/MWh,78.68,246.3
219059,Eletrocar,2021-07-22,2022-07-21,A4,Verde APE,Não se aplica,R$/kW,19.24,0.0
219061,Eletrocar,2021-07-22,2022-07-21,A4,Verde,Não se aplica,R$/kW,19.24,0.0
219063,Eletrocar,2021-07-22,2022-07-21,A4,Verde APE,Ponta,R$/MWh,1262.72,0.0
219066,Eletrocar,2021-07-22,2022-07-21,A4,Verde,Ponta,R$/MWh,1329.67,389.21
219131,Eletrocar,2022-07-22,2023-07-21,A4,Azul APE,Fora ponta,R$/kW,15.19,0.0
219133,Eletrocar,2022-07-22,2023-07-21,A4,Azul APE,Fora ponta,R$/MWh,8.89,0.0
219135,Eletrocar,2022-07-22,2023-07-21,A4,Azul,Fora ponta,R$/kW,15.19,0.0
219137,Eletrocar,2022-07-22,2023-07-21,A4,Azul,Fora ponta,R$/MWh,100.24,219.4
219141,Eletrocar,2022-07-22,2023-07-21,A4,Azul APE,Ponta,R$/kW,40.18,0.0
219143,Eletrocar,2022-07-22,2023-07-21,A4,Azul APE,Ponta,R$/MWh,8.89,0.0
219145,Eletrocar,2022-07-22,2023-07-21,A4,Azul,Ponta,R$/kW,40.18,0.0
219147,Eletrocar,2022-07-22,2023-07-21,A4,Azul,Ponta,R$/MWh,100.24,353.55
219157,Eletrocar,2022-07-22,2023-07-21,A4,Verde APE,Fora ponta,R$/MWh,8.89,0.0
219159,Eletrocar,2022-07-22,2023-07-21,A4,Verde,Fora ponta,R$/MWh,100.24,219.4
219163,Eletrocar,2022-07-22,2023-07-21,A4,Verde APE,Não se aplica,R$/kW,15.19,0.0
219165,Eletrocar,2022-07-22,2023-07-21,A4,Verde,Não se aplica,R$/kW,15.19,0.0
219167,Eletrocar,2022-07-22,2023-07-21,A4,Verde APE,Ponta,R$/MWh,983.01,0.0
219169,Eletrocar,2022-07-22,2023-07-21,A4,Verde,Ponta,R$/MWh,1074.36,353.55
219295,Eletrocar,2023-07-22,2024-07-21,A4,Azul APE,Fora ponta,R$/kW,17.51,0.0
219297,Eletrocar,2023-07-22,2024-07-21,A4,Azul APE,Fora ponta,R$/MWh,9.07,0.0
219299,Eletrocar,2023-07-22,2024-07-21,A4,Azul,Fora ponta,R$/kW,17.51,0.0
219301,Eletrocar,2023-07-22,2024-07-21,A4,Azul,Fora ponta,R$/MWh,89.15,241.82
219305,Eletrocar,2023-07-22,2024-07-21,A4,Azul APE,Ponta,R$/kW,45.08,0.0
219307,Eletrocar,2023-07-22,2024-07-21,A4,Azul APE,Ponta,R$/MWh,9.07,0.0
219309,Eletrocar,2023-07-22,2024-07-21,A4,Azul,Ponta,R$/kW,45.08,0.0
219311,Eletrocar,2023-07-22,2024-07-21,A4,Azul,Ponta,R$/MWh,89.15,376.2
219319,Eletrocar,2023-07-22,2024-07-21,A4,Verde APE,Fora ponta,R$/MWh,9.07,0.0
219321,Eletrocar,2023-07-22,2024-07-21,A4,Verde,Fora ponta,R$/MWh,89.15,241.82
219325,Eletrocar,2023-07-22,2024-07-21,A4,Verde APE,Não se aplica,R$/kW,17.51,0.0
219327,Eletrocar,2023-07-22,2024-07-21,A4,Verde,Não se aplica,R$/kW,17.51,0.0
219329,Eletrocar,2023-07-22,2024-07-21,A4,Verde APE,Ponta,R$/MWh,1102.91,0.0
219331,Eletrocar,2023-07-22,2024-07-21,A4,Verde,Ponta,R$/MWh,1182.99,376.2
219457,Eletrocar,2024-07-22,2025-07-21,A4,Azul APE,Fora ponta,R$/kW,14.79,0.0
219459,Eletrocar,2024-07-22,2025-07-21,A4,Azul APE,Fora ponta,R$/MWh,8.34,0.0
219461,Eletrocar,2024-07-22,2025-07-21,A4,Azul,Fora ponta,R$/kW,14.79,0.0
219463,Eletrocar,2024-07-22,2025-07-21,A4,Azul,Fora ponta,R$/MWh,69.99,226.06
219467,Eletrocar,2024-07-22,2025-07-21,A4,Azul APE,Ponta,R$/kW,39.61,0.0
219469,Eletrocar,2024-07-22,2025-07-21,A4,Azul APE,Ponta,R$/MWh,8.34,0.0
219471,Eletrocar,2024-07-22,2025-07-21,A4,Azul,Ponta,R$/kW,39.61,0.0
219473,Eletrocar,2024-07-22,2025-07-21,A4,Azul,Ponta,R$/MWh,69.99,356.15
219481,Eletrocar,2024-07-22,2025-07-21,A4,Verde APE,Fora ponta,R$/MWh,8.34,0.0
219483,Eletrocar,2024-07-22,2025-07-21,A4,Verde,Fora ponta,R$/MWh,69.99,226.06
219487,Eletrocar,2024-07-22,2025-07-21,A4,Verde APE,Não se aplica,R$/kW,14.79,0.0
219489,Eletrocar,2024-07-22,2025-07-21,A4,Verde,Não se aplica,R$/kW,14.79,0.0
219491,Eletrocar,2024-07-22,2025-07-21,A4,Verde APE,Ponta,R$/MWh,968.98,0.0
219493,Eletrocar,2024-07-22,2025-07-21,A4,Verde,Ponta,R$/MWh,1030.63,356.15
219617,ELFSM,2021-09-22,2022-09-21,A4,Azul APE,Fora ponta,R$/kW,16.64,0.0
219620,ELFSM,2021-09-22,2022-09-21,A4,Azul APE,Fora ponta,R$/MWh,19.84,0.0
219621,ELFSM,2021-09-22,2022-09-21,A4,Azul,Fora ponta,R$/kW,16.64,0.0
219624,ELFSM,2021-09-22,2022-09-21,A4,Azul,Fora ponta,R$/MWh,76.75,307.08
219625,ELFSM,2021-09-22,2022-09-21,A4,Azul APE,Ponta,R$/kW,51.93,0.0
219628,ELFSM,2021-09-22,2022-09-21,A4,Azul APE,Ponta,R$/MWh,19.84,0.0
219629,ELFSM,2021-09-22,2022-09-21,A4,Azul,Ponta,R$/kW,51.93,0.0
219632,ELFSM,2021-09-22,2022-09-21,A4,Azul,Ponta,R$/MWh,76.75,492.64
219636,ELFSM,2021-09-22,2022-09-21,A4,Verde APE,Fora ponta,R$/MWh,19.84,0.0
219638,ELFSM,2021-09-22,2022-09-21,A4,Verde,Fora ponta,R$/MWh,76.75,307.08
219639,ELFSM,2021-09-22,2022-09-21,A4,Verde APE,Não se aplica,R$/kW,16.64,0.0
219641,ELFSM,2021-09-22,2022-09-21,A4,Verde,Não se aplica,R$/kW,16.64,0.0
219643,ELFSM,2021-09-22,2022-09-21,A4,Verde APE,Ponta,R$/MWh,1269.49,0.0
219646,ELFSM,2021-09-22,2022-09-21,A4,Verde,Ponta,R$/MWh,1326.39,492.64
219709,ELFSM,2022-09-22,2023-09-21,A4,Azul APE,Fora ponta,R$/kW,18.37,0.0
219712,ELFSM,2022-09-22,2023-09-21,A4,Azul APE,Fora ponta,R$/MWh,22.27,0.0
219713,ELFSM,2022-09-22,2023-09-21,A4,Azul,Fora ponta,R$/kW,18.37,0.0
219716,ELFSM,2022-09-22,2023-09-21,A4,Azul,Fora ponta,R$/MWh,147.99,304.87
219719,ELFSM,2022-09-22,2023-09-21,A4,Azul APE,Ponta,R$/kW,57.52,0.0
219722,ELFSM,2022-09-22,2023-09-21,A4,Azul APE,Ponta,R$/MWh,22.27,0.0
219723,ELFSM,2022-09-22,2023-09-21,A4,Azul,Ponta,R$/kW,57.52,0.0
219726,ELFSM,2022-09-22,2023-09-21,A4,Azul,Ponta,R$/MWh,147.99,485.88
219732,ELFSM,2022-09-22,2023-09-21,A4,Verde APE,Fora ponta,R$/MWh,22.27,0.0
219734,ELFSM,2022-09-22,2023-09-21,A4,Verde,Fora ponta,R$/MWh,147.99,304.87
219737,ELFSM,2022-09-22,2023-09-21,A4,Verde APE,Não se aplica,R$/kW,18.37,0.0
219739,ELFSM,2022-09-22,2023-09-21,A4,Verde,Não se aplica,R$/kW,18.37,0.0
219741,ELFSM,2022-09-22,2023-09-21,A4,Verde APE,Ponta,R$/MWh,1406.28,0.0
219744,ELFSM,2022-09-22,2023-09-21,A4,Verde,Ponta,R$/MWh,1532.0,485.88
219867,ELFSM,2023-09-22,2024-09-21,A4,Azul APE,Fora ponta,R$/kW,17.91,0.0
219869,ELFSM,2023-09-22,2024-09-21,A4,Azul APE,Fora ponta,R$/MWh,19.83,0.0
219871,ELFSM,2023-09-22,2024-09-21,A4,Azul,Fora ponta,R$/kW,17.91,0.0
219873,ELFSM,2023-09-22,2024-09-21,A4,Azul,Fora ponta,R$/MWh,86.11,290.48
219877,ELFSM,2023-09-22,2024-09-21,A4,Azul APE,Ponta,R$/kW,55.44,0.0
219879,ELFSM,2023-09-22,2024-09-21,A4,Azul APE,Ponta,R$/MWh,19.83,0.0
219881,ELFSM,2023-09-22,2024-09-21,A4,Azul,Ponta,R$/kW,55.44,0.0
219883,ELFSM,2023-09-22,2024-09-21,A4,Azul,Ponta,R$/MWh,86.11,460.35
219891,ELFSM,2023-09-22,2024-09-21,A4,Verde APE,Fora ponta,R$/MWh,19.83,0.0
219893,ELFSM,2023-09-22,2024-09-21,A4,Verde,Fora ponta,R$/MWh,86.11,290.48
219897,ELFSM,2023-09-22,2024-09-21,A4,Verde APE,Não se aplica,R$/kW,17.91,0.0
219899,ELFSM,2023-09-22,2024-09-21,A4,Verde,Não se aplica,R$/kW,17.91,0.0
219901,ELFSM,2023-09-22,2024-09-21,A4,Verde APE,Ponta,R$/MWh,1353.81,0.0
219903,ELFSM,2023-09-22,2024-09-21,A4,Verde,Ponta,R$/MWh,1420.09,460.35
220027,Enel CE,2021-04-22,2022-04-21,A3,Azul APE,Fora ponta,R$/kW,7.65,0.0
220029,Enel CE,2021-04-22,2022-04-21,A3,Azul APE,Fora ponta,R$/MWh,9.91,0.0
220031,Enel CE,2021-04-22,2022-04-21,A3,Azul,Fora ponta,R$/kW,7.65,0.0
220033,Enel CE,2021-04-22,2022-04-21,A3,Azul,Fora ponta,R$/MWh,39.19,244.58
220035,Enel CE,2021-04-22,2022-04-21,A3,Azul APE,Ponta,R$/kW,15.06,0.0
220037,Enel CE,2021-04-22,2022-04-21,A3,Azul APE,Ponta,R$/MWh,9.91,0.0
220039,Enel CE,2021-04-22,2022-04-21,A3,Azul,Ponta,R$/kW,15.06,0.0
220041,Enel CE,2021-04-22,2022-04-21,A3,Azul,Ponta,R$/MWh,39.19,395.99
220045,Enel CE,2021-04-22,2022-04-21,A4,Azul APE,Fora ponta,R$/kW,19.04,0.0
220047,Enel CE,2021-04-22,2022-04-21,A4,Azul APE,Fora ponta,R$/MWh,25.09,0.0
220049,Enel CE,2021-04-22,2022-04-21,A4,Azul,Fora ponta,R$/kW,19.04,0.0
220051,Enel CE,2021-04-22,2022-04-21,A4,Azul,Fora ponta,R$/MWh,60.21,244.58
220053,Enel CE,2021-04-22,2022-04-21,A4,Azul APE,Ponta,R$/kW,46.88,0.0
220055,Enel CE,2021-04-22,2022-04-21,A4,Azul APE,Ponta,R$/MWh,25.09,0.0
220057,Enel CE,2021-04-22,2022-04-21,A4,Azul,Ponta,R$/kW,46.88,0.0
220059,Enel CE,2021-04-22,2022-04-21,A4,Azul,Ponta,R$/MWh,60.21,395.99
220075,Enel CE,2021-04-22,2022-04-21,A4,Verde APE,Fora ponta,R$/MWh,25.09,0.0
220077,Enel CE,2021-04-22,2022-04-21,A4,Verde,Fora ponta,R$/MWh,60.21,244.58
220079,Enel CE,2021-04-22,2022-04-21,A4,Verde APE,Não se aplica,R$/kW,19.04,0.0
220081,Enel CE,2021-04-22,2022-04-21,A4,Verde,Não se aplica,R$/kW,19.04,0.0
220083,Enel CE,2021-04-22,2022-04-21,A4,Verde APE,Ponta,R$/MWh,1162.14,0.0
220085,Enel CE,2021-04-22,2022-04-21,A4,Verde,Ponta,R$/MWh,1197.26,395.99
220150,Enel CE,2022-04-22,2022-07-12,A3,Azul APE,Fora ponta,R$/kW,8.76,0.0
220151,Enel CE,2022-04-22,2022-07-12,A3,Azul APE,Fora ponta,R$/MWh,11.32,0.0
220154,Enel CE,2022-04-22,2022-07-12,A3,Azul,Fora ponta,R$/kW,8.76,0.0
220155,Enel CE,2022-04-22,2022-07-12,A3,Azul,Fora ponta,R$/MWh,53.19,290.02
220160,Enel CE,2022-04-22,2022-07-12,A3,Azul APE,Ponta,R$/kW,18.2,0.0
220161,Enel CE,2022-04-22,2022-07-12,A3,Azul APE,Ponta,R$/MWh,11.32,0.0
220164,Enel CE,2022-04-22,2022-07-12,A3,Azul,Ponta,R$/kW,18.2,0.0
220165,Enel CE,2022-04-22,2022-07-12,A3,Azul,Ponta,R$/MWh,53.19,467.27
220172,Enel CE,2022-04-22,2022-07-12,A4,Azul APE,Fora ponta,R$/kW,23.43,0.0
220173,Enel CE,2022-04-22,2022-07-12,A4,Azul APE,Fora ponta,R$/MWh,28.97,0.0
220176,Enel CE,2022-04-22,2022-07-12,A4,Azul,Fora ponta,R$/kW,23.43,0.0
220177,Enel CE,2022-04-22,2022-07-12,A4,Azul,Fora ponta,R$/MWh,80.32,290.02
220182,Enel CE,2022-04-22,2022-07-12,A4,Azul APE,Ponta,R$/kW,59.34,0.0
220183,Enel CE,2022-04-22,2022-07-12,A4,Azul APE,Ponta,R$/MWh,28.97,0.0
220186,Enel CE,2022-04-22,2022-07-12,A4,Azul,Ponta,R$/kW,59.34,0.0
220187,Enel CE,2022-04-22,2022-07-12,A4,Azul,Ponta,R$/MWh,80.32,467.27
220209,Enel CE,2022-04-22,2022-07-12,A4,Verde APE,Fora ponta,R$/MWh,28.97,0.0
220211,Enel CE,2022-04-22,2022-07-12,A4,Verde,Fora ponta,R$/MWh,80.32,290.02
220216,Enel CE,2022-04-22,2022-07-12,A4,Verde APE,Não se aplica,R$/kW,23.43,0.0
220218,Enel CE,2022-04-22,2022-07-12,A4,Verde,Não se aplica,R$/kW,23.43,0.0
220220,Enel CE,2022-04-22,2022-07-12,A4,Verde APE,Ponta,R$/MWh,1468.67,0.0
