id_subsistema,ear_data,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,verif_max_ratio
S,2000-02-23,13976.0,6195.0,44.33000183,54.13970639753221
NE,2000-02-24,49967.0,25798.0,51.63000107,54.13970639753221
N,2000-02-24,12311.0,12046.0,97.84999847,54.13970639753221
SE/CO,2000-02-24,155759.0,68170.0,43.77000046,54.13970639753221
S,2000-02-24,13976.0,6227.0,44.56000137,54.13970639753221
NE,2000-02-25,49967.0,26102.0,52.24000168,54.13970639753221
N,2000-02-25,12311.0,12019.0,97.62999725,54.13970639753221
SE/CO,2000-02-25,155759.0,68506.0,43.97999954,54.13970639753221
S,2000-02-25,13976.0,6248.0,44.70999908,54.13970639753221
NE,2000-02-26,49967.0,26406.0,52.84999847,54.13970639753221
N,2000-02-26,12311.0,12021.0,97.63999939,54.13970639753221
SE/CO,2000-02-26,155759.0,68845.0,44.20000076,54.13970639753221
S,2000-02-26,13976.0,6310.0,45.15000153,54.13970639753221
NE,2000-02-27,49967.0,26731.0,53.5,54.13970639753221
N,2000-02-27,12311.0,12021.0,97.63999939,54.13970639753221
SE/CO,2000-02-27,155759.0,69360.0,44.52999878,54.13970639753221
S,2000-02-27,13976.0,6439.0,46.06999969,54.13970639753221
NE,2000-02-28,49967.0,26881.0,53.79999924,54.13970639753221
N,2000-02-28,12311.0,12041.0,97.80000305,54.13970639753221
SE/CO,2000-02-28,155759.0,69838.0,44.84000015,54.13970639753221
S,2000-02-28,13976.0,6487.0,46.41999817,54.13970639753221
NE,2000-02-29,49967.0,27050.0,54.13999939,54.13970639753221
N,2000-02-29,12311.0,12054.0,97.91000366,54.13970639753221
SE/CO,2000-02-29,155759.0,70383.0,45.18999863,54.13970639753221
S,2000-02-29,13976.0,6539.0,46.79000092,54.13970639753221
NE,2000-03-01,49967.0,27109.0,54.25,54.13970639753221
N,2000-03-01,12311.0,12068.0,98.01999664,54.13970639753221
SE/CO,2000-03-01,155759.0,70935.0,45.54000092,54.13970639753221
S,2000-03-01,13976.0,6661.0,47.65999985,54.13970639753221
NE,2000-03-02,49967.0,27316.0,54.66999817,54.13970639753221
N,2000-03-02,12311.0,12050.0,97.87999725,54.13970639753221
SE/CO,2000-03-02,155759.0,71549.0,45.93999863,54.13970639753221
S,2000-03-02,13976.0,6785.0,48.54999924,54.13970639753221
NE,2000-03-03,49967.0,27426.0,54.88999939,54.13970639753221
N,2000-03-03,12311.0,12089.0,98.19000244,54.13970639753221
SE/CO,2000-03-03,155759.0,72093.0,46.27999878,54.13970639753221
S,2000-03-03,13976.0,6899.0,49.36000061,54.13970639753221
NE,2000-03-04,49967.0,27526.0,55.09000015,54.13970639753221
N,2000-03-04,12311.0,12115.0,98.41000366,54.13970639753221
SE/CO,2000-03-04,155759.0,72707.0,46.68000031,54.13970639753221
S,2000-03-04,13976.0,7033.0,50.31999969,54.13970639753221
NE,2000-03-05,49967.0,27540.0,55.11999893,54.13970639753221
N,2000-03-05,12311.0,12118.0,98.43000031,54.13970639753221
SE/CO,2000-03-05,155759.0,73302.0,47.06000137,54.13970639753221
S,2000-03-05,13976.0,7164.0,51.25999832,54.13970639753221
NE,2000-03-06,49967.0,27791.0,55.61999893,54.13970639753221
N,2000-03-06,12311.0,12161.0,98.77999878,54.13970639753221
SE/CO,2000-03-06,155759.0,73785.0,47.36999893,54.13970639753221
S,2000-03-06,13976.0,7289.0,52.15999985,54.13970639753221
NE,2000-03-07,49967.0,27889.0,55.81999969,54.13970639753221
N,2000-03-07,12311.0,12183.0,98.95999908,54.13970639753221
SE/CO,2000-03-07,155759.0,74233.0,47.65999985,54.13970639753221
S,2000-03-07,13976.0,7445.0,53.27000046,54.13970639753221
NE,2000-03-08,49967.0,27892.0,55.81999969,54.13970639753221
N,2000-03-08,12311.0,12184.0,98.97000122,54.13970639753221
SE/CO,2000-03-08,155759.0,74791.0,48.02000046,54.13970639753221
S,2000-03-08,13976.0,7531.0,53.88999939,54.13970639753221
NE,2000-03-09,49967.0,28074.0,56.18999863,54.13970639753221
N,2000-03-09,12311.0,12196.0,99.05999756,54.13970639753221
SE/CO,2000-03-09,155759.0,75199.0,48.27999878,54.13970639753221
S,2000-03-09,13976.0,7591.0,54.31999969,54.13970639753221
NE,2000-03-10,49967.0,28071.0,56.18000031,54.13970639753221
N,2000-03-10,12311.0,12228.0,99.31999969,54.13970639753221
SE/CO,2000-03-10,155759.0,75833.0,48.68999863,54.13970639753221
S,2000-03-10,13976.0,7661.0,54.81999969,54.13970639753221
NE,2000-03-11,49967.0,28425.0,56.88999939,54.13970639753221
N,2000-03-11,12311.0,12249.0,99.48999786,54.13970639753221
SE/CO,2000-03-11,155759.0,76839.0,49.33000183,54.13970639753221
S,2000-03-11,13976.0,7731.0,55.31999969,54.13970639753221
NE,2000-03-12,49967.0,28725.0,57.49000168,54.13970639753221
N,2000-03-12,12311.0,12270.0,99.66000366,54.13970639753221
SE/CO,2000-03-12,155759.0,77944.0,50.04000092,54.13970639753221
S,2000-03-12,13976.0,7803.0,55.83000183,54.13970639753221
NE,2000-03-13,49967.0,29011.0,58.06000137,54.13970639753221
N,2000-03-13,12311.0,12290.0,99.83000183,54.13970639753221
SE/CO,2000-03-13,155759.0,78706.0,50.52999878,54.13970639753221
S,2000-03-13,13976.0,7841.0,56.11000061,54.13970639753221
