id_subsistema,ena_data,ena_bruta_regiao_mwmed,ena_armazenavel_regiao_mwmed,month,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_percentualmlt,max,min
N,2019-04-06,25289.5546875,14783.52832031,4,93.02001119491463,54.37675699901838,34472.72265625,5722.0
NE,2019-04-06,7697.51611328,7678.18701172,4,67.49313608120389,67.32365521715401,25125.0,1828.0
S,2019-04-06,5508.36376953,5432.7109375,4,83.66313308136898,82.51408896973645,61485.0,751.44000244
SE/CO,2019-04-06,49239.01953125,43499.84765625,4,90.30387770413718,79.77829291270771,69691.0,18547.0
N,2019-04-07,25576.67578125,15885.06445313,4,94.07609967432634,58.428425945849035,34472.72265625,5722.0
NE,2019-04-07,7954.74316406,7895.23681641,4,69.74854679896899,69.2267849785932,25125.0,1828.0
S,2019-04-07,6089.14306641,5892.62402344,4,92.48423089530677,89.49942460201704,61485.0,751.44000244
SE/CO,2019-04-07,50049.16015625,42262.515625,4,91.78966764511523,77.50903813279687,69691.0,18547.0
N,2019-04-08,25753.53710938,15798.86425781,4,94.72663080964647,58.111364485781756,34472.72265625,5722.0
NE,2019-04-08,8124.92285156,8026.63378906,4,71.24071136707924,70.37889607848744,25125.0,1828.0
S,2019-04-08,6910.65917969,6498.27685547,4,104.9617314362157,98.6983111692993,61485.0,751.44000244
SE/CO,2019-04-08,51202.546875,45335.171875,4,93.90496754724819,83.14425948505699,69691.0,18547.0
N,2019-04-09,26107.82617188,14895.1171875,4,96.0297764350724,54.78720304298815,34472.72265625,5722.0
NE,2019-04-09,8194.55859375,8104.14501953,4,71.85128944896684,71.05852778681317,25125.0,1828.0
S,2019-04-09,7417.05712891,7164.30078125,4,112.65309692882913,108.81413696971887,61485.0,751.44000244
SE/CO,2019-04-09,53179.08203125,47255.59375,4,97.52991359059189,86.66629432229185,69691.0,18547.0
N,2019-04-10,26483.53125,15241.48632813,4,97.41169442471511,56.0612176208289,34472.72265625,5722.0
NE,2019-04-10,8175.60302734,8081.60986328,4,71.6850838049151,70.8609356876205,25125.0,1828.0
S,2019-04-10,7571.328125,7430.94189453,4,114.99622374769831,112.86398405293221,61485.0,751.44000244
SE/CO,2019-04-10,53956.28515625,47754.24609375,4,98.9552964804102,87.58081781799838,69691.0,18547.0
N,2019-04-11,26682.18164063,15127.51855469,4,98.14237006486032,55.64202148660481,34472.72265625,5722.0
NE,2019-04-11,8076.92382813,7975.05615234,4,70.81984773101141,69.92665454983587,25125.0,1828.0
S,2019-04-11,7598.38916016,7464.52294922,4,115.4072370868017,113.37402593925117,61485.0,751.44000244
SE/CO,2019-04-11,55132.44921875,48707.81640625,4,101.11236980703468,89.32965639565619,69691.0,18547.0
N,2019-04-12,26905.5390625,15080.65234375,4,98.96392307912056,55.469638243002,34472.72265625,5722.0
NE,2019-04-12,7887.92822266,7818.02197266,4,69.16270198022443,68.54975203965377,25125.0,1828.0
S,2019-04-12,7480.02978516,7363.31689453,4,113.60954968699194,111.83686972073727,61485.0,751.44000244
SE/CO,2019-04-12,56037.5859375,49627.48046875,4,102.77238164995224,91.01631124417895,69691.0,18547.0
N,2019-04-13,27155.24023438,15988.99316406,4,99.88237364460804,58.8106964118039,34472.72265625,5722.0
NE,2019-04-13,7595.91601563,7550.69287109,4,66.60228907086446,66.2057648150474,25125.0,1828.0
S,2019-04-13,7246.18212891,7160.43212891,4,110.05778215598167,108.7553784001855,61485.0,751.44000244
SE/CO,2019-04-13,56460.62109375,50093.390625,4,103.5482239672491,91.87078588993045,69691.0,18547.0
N,2019-04-14,27307.83203125,15371.38183594,4,100.4436366177404,56.53899912943835,34472.72265625,5722.0
NE,2019-04-14,7219.14306641,7191.22314453,4,63.29867949614073,63.05387285214133,25125.0,1828.0
S,2019-04-14,7013.24121094,6920.60009766,4,106.51978651233465,105.11271789569311,61485.0,751.44000244
SE/CO,2019-04-14,56622.78125,49611.70703125,4,103.84562409945909,90.98738291488779,69691.0,18547.0
N,2019-04-15,27351.69335938,15408.38769531,4,100.60496730482018,56.67511403914756,34472.72265625,5722.0
NE,2019-04-15,6783.28710938,6762.52587891,4,59.47702001706832,59.294982002116,25125.0,1828.0
S,2019-04-15,6788.62695313,6622.45410156,4,103.1082593639135,100.58436261760298,61485.0,751.44000244
SE/CO,2019-04-15,56794.125,50974.7734375,4,104.15986685231383,93.48723330233301,69691.0,18547.0
N,2019-04-16,27474.91015625,16479.1875,4,101.0581831864709,60.61372865892213,34472.72265625,5722.0
NE,2019-04-16,6339.60205078,6315.13183594,4,55.58671363815429,55.37215461472035,25125.0,1828.0
S,2019-04-16,6733.65820313,6650.13818359,4,102.27337299130218,101.00483903056674,61485.0,751.44000244
SE/CO,2019-04-16,57426.6953125,52213.75,4,105.31999458603147,95.75950413638736,69691.0,18547.0
N,2019-04-17,27505.65820313,16803.56640625,4,101.17128061741984,61.80685878175831,34472.72265625,5722.0
NE,2019-04-17,5912.87695313,5899.2109375,4,51.84511509375267,51.72528913443936,25125.0,1828.0
S,2019-04-17,6914.41796875,6843.14404297,4,105.01882136028554,103.93628574948426,61485.0,751.44000244
SE/CO,2019-04-17,57740.8125,53214.234375,4,105.89608241951818,97.59438264341287,69691.0,18547.0
N,2019-04-18,27401.27539063,16762.02148438,4,100.78733987558834,61.65404829754091,34472.72265625,5722.0
NE,2019-04-18,5539.32617188,5527.32714844,4,48.569758038163066,48.46454855110785,25125.0,1828.0
S,2019-04-18,6899.56884766,6822.02001953,4,104.79328723692824,103.61544601227399,61485.0,751.44000244
